Region,NDVI,EVI,Latitude,Longitude
Region_0,0.5,0.3,10.0,-50.0
Region_1,0.50001,0.30001,10.0001,-49.9999
Region_2,0.50002,0.30002,10.0002,-49.9998
Region_3,0.50003,0.30003,10.0003,-49.9997
Region_4,0.50004,0.30004,10.0004,-49.9996
Region_5,0.50005,0.30005,10.0005,-49.9995
Region_6,0.50006,0.30006,10.0006,-49.9994
Region_7,0.50007,0.30007,10.0007,-49.9993
Region_8,0.50008,0.30008,10.0008,-49.9992
Region_9,0.50009,0.30009,10.0009,-49.9991
Region_10,0.5001,0.3001,10.001,-49.999
Region_11,0.50011,0.30011,10.0011,-49.9989
Region_12,0.50012,0.30012,10.0012,-49.9988
Region_13,0.50013,0.30013,10.0013,-49.9987
Region_14,0.50014,0.30014,10.0014,-49.9986
Region_15,0.50015,0.30015,10.0015,-49.9985
Region_16,0.50016,0.30016,10.0016,-49.9984
Region_17,0.50017,0.30017,10.0017,-49.9983
Region_18,0.50018,0.30018,10.0018,-49.9982
Region_19,0.50019,0.30019,10.0019,-49.9981
Region_20,0.5002,0.3002,10.002,-49.998
Region_21,0.50021,0.30021,10.0021,-49.9979
Region_22,0.50022,0.30022,10.0022,-49.9978
Region_23,0.50023,0.30023,10.0023,-49.9977
Region_24,0.50024,0.30024,10.0024,-49.9976
Region_25,0.50025,0.30025,10.0025,-49.9975
Region_26,0.50026,0.30026,10.0026,-49.9974
Region_27,0.50027,0.30027,10.0027,-49.9973
Region_28,0.50028,0.30028,10.0028,-49.9972
Region_29,0.50029,0.30029,10.0029,-49.9971
Region_30,0.5003,0.3003,10.003,-49.997
Region_31,0.50031,0.30031,10.0031,-49.9969
Region_32,0.50032,0.30032,10.0032,-49.9968
Region_33,0.50033,0.30033,10.0033,-49.9967
Region_34,0.50034,0.30034,10.0034,-49.9966
Region_35,0.50035,0.30035,10.0035,-49.9965
Region_36,0.50036,0.30036,10.0036,-49.9964
Region_37,0.50037,0.30037,10.0037,-49.9963
Region_38,0.50038,0.30038,10.0038,-49.9962
Region_39,0.50039,0.30039,10.0039,-49.9961
Region_40,0.5004,0.3004,10.004,-49.996
Region_41,0.50041,0.30041,10.0041,-49.9959
Region_42,0.50042,0.30042,10.0042,-49.9958
Region_43,0.50043,0.30043,10.0043,-49.9957
Region_44,0.50044,0.30044,10.0044,-49.9956
Region_45,0.50045,0.30045,10.0045,-49.9955
Region_46,0.50046,0.30046,10.0046,-49.9954
Region_47,0.50047,0.30047,10.0047,-49.9953
Region_48,0.50048,0.30048,10.0048,-49.9952
Region_49,0.50049,0.30049,10.0049,-49.9951
Region_50,0.5005,0.3005,10.005,-49.995
Region_51,0.50051,0.30051,10.0051,-49.9949
Region_52,0.50052,0.30052,10.0052,-49.9948
Region_53,0.50053,0.30053,10.0053,-49.9947
Region_54,0.50054,0.30054,10.0054,-49.9946
Region_55,0.50055,0.30055,10.0055,-49.9945
Region_56,0.50056,0.30056,10.0056,-49.9944
Region_57,0.50057,0.30057,10.0057,-49.9943
Region_58,0.50058,0.30058,10.0058,-49.9942
Region_59,0.50059,0.30059,10.0059,-49.9941
Region_60,0.5006,0.3006,10.006,-49.994
Region_61,0.50061,0.30061,10.0061,-49.9939
Region_62,0.50062,0.30062,10.0062,-49.9938
Region_63,0.50063,0.30063,10.0063,-49.9937
Region_64,0.50064,0.30064,10.0064,-49.9936
Region_65,0.50065,0.30065,10.0065,-49.9935
Region_66,0.50066,0.30066,10.0066,-49.9934
Region_67,0.50067,0.30067,10.0067,-49.9933
Region_68,0.50068,0.30068,10.0068,-49.9932
Region_69,0.50069,0.30069,10.0069,-49.9931
Region_70,0.5007,0.3007,10.007,-49.993
Region_71,0.50071,0.30071,10.0071,-49.9929
Region_72,0.50072,0.30072,10.0072,-49.9928
Region_73,0.50073,0.30073,10.0073,-49.9927
Region_74,0.50074,0.30074,10.0074,-49.9926
Region_75,0.50075,0.30075,10.0075,-49.9925
Region_76,0.50076,0.30076,10.0076,-49.9924
Region_77,0.50077,0.30077,10.0077,-49.9923
Region_78,0.50078,0.30078,10.0078,-49.9922
Region_79,0.50079,0.30079,10.0079,-49.9921
Region_80,0.5008,0.3008,10.008,-49.992
Region_81,0.50081,0.30081,10.0081,-49.9919
Region_82,0.50082,0.30082,10.0082,-49.9918
Region_83,0.50083,0.30083,10.0083,-49.9917
Region_84,0.50084,0.30084,10.0084,-49.9916
Region_85,0.50085,0.30085,10.0085,-49.9915
Region_86,0.50086,0.30086,10.0086,-49.9914
Region_87,0.50087,0.30087,10.0087,-49.9913
Region_88,0.50088,0.30088,10.0088,-49.9912
Region_89,0.50089,0.30089,10.0089,-49.9911
Region_90,0.5009,0.3009,10.009,-49.991
Region_91,0.50091,0.30091,10.0091,-49.9909
Region_92,0.50092,0.30092,10.0092,-49.9908
Region_93,0.50093,0.30093,10.0093,-49.9907
Region_94,0.50094,0.30094,10.0094,-49.9906
Region_95,0.50095,0.30095,10.0095,-49.9905
Region_96,0.50096,0.30096,10.0096,-49.9904
Region_97,0.50097,0.30097,10.0097,-49.9903
